"HT","Psn","mm","ndvi"
0.360539906728212,0.633333333333333,42.6666666666667,0.620866363995246
0.336863864514613,0.706666666666667,42.6666666666667,0.655443769645327
0.140564183833997,0.683333333333333,42.6666666666667,0.67962276754531
0.340696695946281,0.663333333333333,42.6666666666667,0.649158963587808
1.93461257997249,0.53,80,0.481675392670157
0.077581117532864,0.6,80,0.48801870251315
0.175113066034535,0.663333333333333,42.6666666666667,0.613397438778161
1.77376163577316,0.693333333333333,42.6666666666667,0.614988778194274
4.69860721009017,0.626666666666667,42.6666666666667,0.594437970642432
2.70094104316673,0.486666666666667,42.6666666666667,0.554369444166623
1.89926515454311,0.476666666666667,42.6666666666667,0.564223916588883
2.87084872135354,0.5,42.6666666666667,0.594023625559651
0.926284341830834,0.53,42.6666666666667,0.570407109941125
0.262372723583845,0.663333333333333,42.6666666666667,0.613136694407471
